"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"telling"	128	64	10	"telling"	628
"they're"	128	60	9	"they're"	629
"couple"	127	62	9	"couple"	630
"evening"	127	64	9	"evening"	631
"running"	127	71	10	"running"	632
"six"	127	65	9	"six"	633
"wearing"	127	70	9	"wearing"	634
"coffee"	126	40	6	"coffee"	635
"market"	126	33	7	"market"	636
"orange"	126	63	10	"orange"	637
"song"	126	43	9	"song"	638
"understand"	126	68	10	"understand"	639
"met"	125	61	9	"met"	640
"smell"	125	62	9	"smell"	641
"thousand"	125	50	10	"thousand"	642
"change"	124	63	9	"change"	643
"earth"	124	61	10	"earth"	644
"god"	124	48	8	"god"	645
"live"	124	56	8	"live"	646
"wait"	124	65	9	"wait"	647
"we'll"	124	67	9	"we'll"	648
"gently"	123	63	10	"gently"	649
"higgler"	123	11	1	"higgler"	650
"liked"	123	61	9	"liked"	651
"milk"	123	33	9	"milk"	652
"play"	123	60	9	"play"	653
"smelled"	123	64	9	"smelled"	654
"thin"	123	65	9	"thin"	655
"ursula"	123	10	1	"ursula"	656
"wood"	123	52	9	"wood"	657
"job"	122	51	8	"job"	658
"week"	122	62	10	"week"	659
"bear"	121	36	9	"bear"	660
"books"	121	48	9	"books"	661
"moving"	121	64	9	"moving"	662
"shadows"	121	58	9	"shadows"	663
"trouble"	121	53	8	"trouble"	664
"office"	120	42	7	"office"	665
"stepped"	120	54	8	"stepped"	666
"tongue"	120	61	9	"tongue"	667
"minutes"	119	55	10	"minutes"	668
"anansi"	118	9	2	"anansi"	669
"continued"	118	59	9	"continued"	670
"exactly"	118	69	10	"exactly"	671
"village"	118	29	8	"village"	672
"watch"	118	60	8	"watch"	673
"bottle"	117	49	8	"bottle"	674
"climbed"	117	62	10	"climbed"	675
"frost"	117	15	5	"frost"	676
"sounded"	117	64	9	"sounded"	677
"taking"	117	65	8	"taking"	678
"wore"	117	67	8	"wore"	679
"laura"	116	16	1	"laura"	680
"second"	116	62	10	"second"	681
"silence"	116	58	9	"silence"	682
"stuff"	116	63	10	"stuff"	683
"tea"	116	37	9	"tea"	684
"thick"	116	67	9	"thick"	685
"afternoon"	115	66	9	"afternoon"	686
"forward"	115	64	10	"forward"	687
"try"	115	62	9	"try"	688
"middle"	114	66	10	"middle"	689
"seat"	114	41	8	"seat"	690
"wife"	114	40	8	"wife"	691
"you'd"	114	64	9	"you'd"	692
"tall"	113	59	10	"tall"	693
"watching"	113	63	9	"watching"	694
"bright"	112	71	10	"bright"	695
"charlie's"	112	15	2	"charlie's"	696
"comes"	112	57	10	"comes"	697
"land"	112	35	9	"land"	698
"lord"	112	41	7	"lord"	699
"winter"	112	36	8	"winter"	700
"beyond"	111	65	9	"beyond"	701
"broken"	111	64	9	"broken"	702
"carried"	111	67	10	"carried"	703
"golden"	111	58	9	"golden"	704
"hungry"	111	57	10	"hungry"	705
"sea"	111	41	10	"sea"	706
"station"	111	42	6	"station"	707
"fox"	110	23	8	"fox"	708
"leather"	110	52	8	"leather"	709
"parents"	110	44	8	"parents"	710
"beautiful"	109	60	10	"beautiful"	711
"burning"	109	60	10	"burning"	712
"drink"	109	50	9	"drink"	713
"places"	109	63	9	"places"	714
"shrugged"	109	66	10	"shrugged"	715
"sighed"	109	69	10	"sighed"	716
"um"	109	42	10	"um"	717
"asleep"	108	62	9	"asleep"	718
"colored"	108	56	9	"colored"	719
"hit"	108	60	10	"hit"	720
"monkton"	108	10	1	"monkton"	721
"short"	108	58	10	"short"	722
"throat"	108	53	10	"throat"	723
"touch"	108	69	10	"touch"	724
"use"	108	58	10	"use"	725
"afraid"	107	58	10	"afraid"	726
"de"	107	22	4	"de"	727
"instead"	107	65	9	"instead"	728
"business"	106	55	9	"business"	729
"man's"	106	50	9	"man's"	730
"plastic"	106	51	8	"plastic"	731
"ate"	105	57	10	"ate"	732
"bar"	105	37	7	"bar"	733
"finished"	105	63	10	"finished"	734
"jessica"	105	9	1	"jessica"	735
"lived"	105	57	8	"lived"	736
"perfectly"	105	57	8	"perfectly"	737
"shape"	105	61	9	"shape"	738
"yourself"	105	60	9	"yourself"	739
"chain"	104	35	7	"chain"	740
"dog"	104	37	9	"dog"	741
"ones"	104	55	9	"ones"	742
"perfect"	104	58	9	"perfect"	743
"train"	104	33	8	"train"	744
"hours"	103	48	10	"hours"	745
"start"	103	56	10	"start"	746
"building"	102	51	9	"building"	747
"country"	102	43	9	"country"	748
"different"	102	62	10	"different"	749
"drive"	102	41	9	"drive"	750
"forgotten"	102	60	8	"forgotten"	751
"lay"	102	60	9	"lay"	752
"mirror"	102	34	8	"mirror"	753
"prison"	102	29	5	"prison"	754
"fallen"	101	53	10	"fallen"	755
"figure"	101	51	9	"figure"	756
"folk"	101	36	9	"folk"	757
"kid"	101	29	5	"kid"	758
"line"	101	56	8	"line"	759
"happen"	100	61	10	"happen"	760
"looks"	100	52	10	"looks"	761
"piece"	100	52	9	"piece"	762
"showed"	100	52	9	"showed"	763
"sign"	100	48	9	"sign"	764
"slipped"	100	58	8	"slipped"	765
"themselves"	100	56	10	"themselves"	766
"corridor"	99	41	7	"corridor"	767
"driver"	99	20	7	"driver"	768
"early"	99	59	9	"early"	769
"fall"	99	54	10	"fall"	770
"hope"	99	65	9	"hope"	771
"laughed"	99	62	9	"laughed"	772
"leaves"	99	52	9	"leaves"	773
"mad"	99	35	9	"mad"	774
"richard's"	99	20	3	"richard's"	775
"south"	99	44	7	"south"	776
"spoke"	99	56	8	"spoke"	777
"suppose"	99	59	10	"suppose"	778
"tightly"	99	69	10	"tightly"	779
"age"	98	56	8	"age"	780
